ideal,0.10%,0.20%,0.30%,0.40%,0.50%,0.60%,0.70%,0.80%,0.90%,1%
576,576,576,576,576,576,576,576,576,576,576
639,643,643,643,643,643,643,643,643,643,643
700,700,700,700,700,700,700,700,700,700,700
758,766,766,766,766,766,766,766,766,766,766
812,812,812,812,812,812,812,812,812,812,812
862,873,873,873,873,873,873,873,873,873,873
906,906,906,906,906,906,906,906,906,906,906
944,957,957,957,957,957,957,957,957,957,957
975,975,975,975,975,975,975,975,975,975,975
998,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014
1022,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022
1014,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
998,998,998,998,998,998,998,998,998,998,998
975,989,989,989,989,989,989,988,988,988,988
944,944,944,944,944,944,944,944,944,944,944
906,918,918,918,918,918,918,918,918,918,917
862,862,862,862,862,862,862,862,862,862,862
813,821,821,821,821,821,821,821,821,821,821
758,758,758,758,758,758,758,758,758,758,758
700,706,706,706,705,705,705,705,705,705,705
639,639,639,639,639,639,639,639,639,639,639
576,578,578,577,577,577,577,577,577,577,577
512,512,512,512,512,512,512,512,512,512,512
447,445,445,445,445,445,445,445,445,445,445
384,384,384,384,384,384,384,384,384,384,384
323,317,317,317,317,317,317,317,317,317,317
265,265,265,265,265,265,265,265,265,265,265
211,202,202,201,201,201,201,201,201,201,201
161,161,161,161,161,161,161,161,161,161,161
117,105,105,105,105,105,105,105,105,105,105
79,79,79,79,79,79,79,79,79,79,79
48,34,34,34,34,34,34,34,34,34,34
25,25,25,25,25,25,25,25,25,25,25
9,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9,9
25,10,10,10,10,10,10,10,10,10,10
48,48,48,48,48,48,48,48,48,48,48
79,66,66,66,66,66,66,66,66,66,66
117,117,117,117,117,117,117,117,117,117,117
161,150,150,151,151,151,151,151,151,151,151
210,210,210,210,210,210,210,210,210,210,210
265,257,257,257,258,258,258,258,258,258,258
323,323,323,323,323,323,323,323,323,323,323
384,380,380,380,380,380,381,381,381,381,381
447,447,447,447,447,447,447,447,447,447,447
511,511,511,511,512,512,512,512,512,512,512
575,575,575,575,575,575,575,575,575,575,575
639,643,643,643,643,643,643,643,643,643,643
700,700,700,700,700,700,700,700,700,700,700
758,765,765,766,766,766,766,766,766,766,766
812,812,812,812,812,812,812,812,812,812,812
862,872,872,872,873,873,873,873,873,873,873
906,906,906,906,906,906,906,906,906,906,906
944,957,957,957,957,957,957,957,957,957,957
975,975,975,975,975,975,975,975,975,975,975
998,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014
1022,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1014,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
999,999,999,999,999,999,999,999,999,999,999
975,989,989,989,989,989,989,989,989,989,989
944,944,944,944,944,944,944,944,944,944,944
906,918,918,918,918,918,918,918,918,918,918
862,862,862,862,862,862,862,862,862,862,862
813,822,822,822,821,821,821,821,821,821,821
